vcode,vdc_name,total_population,dead,injured,deadpercent,injuredpercent,GovComplete,GovPartial
220001,Alampu,1803,7,7,0.39,0.39,,
220002,Babare,"3,533",2,10,0.06,0.28,,
220003,Bhedapu,"3,705",1,3,0.03,0.08,,
220004,Bhimeswor N.P.,"22,537",23,184,0.1,0.82,,
220005,Bhirkot,"2,562",3,14,0.12,0.55,,
220006,Bhusaphedi,2091,1,0,0.05,0,,
220007,Bigu,1612,3,2,0.19,0.12,,
220008,Bocha,"2,799",1,20,0.04,0.71,,
220009,Bulung,2043,3,5,0.15,0.24,,
220010,Chankhu,1272,3,8,0.24,0.63,,
220011,Chhetrapa,"2,447",1,2,0.04,0.08,,
220012,Chilankha,"2,875",13,19,0.45,0.66,,
220013,Chyama,"2,733",0,0,0,0,,
220014,Dandakharka,"4,136",0,3,0,0.07,,
220015,Dudhpokhari,"2,450",0,1,0,0.04,,
220016,Fasku,"4,338",2,8,0.05,0.18,,
220017,Gairimudi,"4,278",1,8,0.02,0.19,,
220018,GauriSankar,975,1,5,0.1,0.51,,
220019,GhangSukathokar,"4,230",1,4,0.02,0.09,,
220020,Hawa,1721,1,2,0.06,0.12,,
220021,Japhe,"3,784",13,10,0.34,0.26,,
220022,Jhule,"2,241",4,4,0.18,0.18,,
220023,Jhyaku,"4,637",2,7,0.04,0.15,,
220024,Jiri,"7,373",1,16,0.01,0.22,,
220025,Jugu,"3,882",0,13,0,0.33,,
220026,Kabhre,"4,723",0,3,0,0.06,,
220027,Kalingchok,"2,806",2,2,0.07,0.07,,
220028,Katakuti,"3,738",1,6,0.03,0.16,,
220029,Khare,1833,0,9,0,0.49,,
220030,Khopachagu,"2,198",5,1,0.23,0.05,,
220031,Laduk,"3,663",9,15,0.25,0.41,,
220032,LakuriDada,"3,713",0,7,0,0.19,,
220033,Lamabagar,"2,098",6,33,0.29,1.57,,
220034,Lamidada,"4,232",2,17,0.05,0.4,,
220035,Lapilang,"4,942",12,22,0.24,0.45,,
220036,Magapauwa,"2,950",0,8,0,0.27,,
220037,Mali,"2,749",0,0,0,0,,
220038,Malu,"2,482",1,0,0.04,0,,
220039,Marbu,1409,1,3,0.07,0.21,,
220040,Melung,"3,566",1,8,0.03,0.22,,
220041,Mirge,"3,482",1,17,0.03,0.49,,
220042,Namdu,"4,946",4,12,0.08,0.24,,
220043,Orang,"2,157",6,12,0.28,0.56,,
220044,Pawati,"4,573",2,6,0.04,0.13,,
220045,Sahare,"3,326",2,11,0.06,0.33,,
220046,Sailungeswor,"4,131",1,1,0.02,0.02,,
220047,Sunkhani,"4,675",5,22,0.11,0.47,,
220048,Sundrawati,"2,766",0,5,0,0.18,,
220049,Suri,"3,054",2,6,0.07,0.2,,
220050,SusmaChhemawati,"3,437",6,19,0.17,0.55,,
220051,Syama,1867,0,3,0,0.16,,
220052,Thulopatal,"3,526",0,0,0,0,,
